"service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","country","needs_review","source_service_names"
"Clinical Services","ENT Services","Audiology and Hearing",TRUE,FALSE,TRUE,"TZA",FALSE,"Audiology and Hearing"
"Clinical Services","ENT Services","ENT Services",TRUE,FALSE,TRUE,"TZA",FALSE,"ENT Services"
"Clinical Services","ENT Services","General ENT",TRUE,FALSE,TRUE,"TZA",FALSE,"General ENT"
"Clinical Services","ENT Services","Head and Neck Surgery",TRUE,FALSE,TRUE,"TZA",FALSE,"Head and Neck Surgery"
"Clinical Services","Emergency Services","Basic Emergency Preparedness",TRUE,FALSE,TRUE,"TZA",FALSE,"Basic Emergency Preparedness"
"Clinical Services","Emergency Services","Comprehensive Emergency Preparedness",TRUE,FALSE,TRUE,"TZA",FALSE,"Comprehensive Emergency Preparedness"
"Clinical Services","Emergency Services","Emergency Care and Trauma",TRUE,FALSE,TRUE,"TZA",FALSE,"Emergency Care and Trauma"
"Clinical Services","General Clinical Services","Accidents & Emergencies",TRUE,FALSE,TRUE,"MWI",FALSE,"Accidents & Emergencies"
"Clinical Services","General Clinical Services","Amputation",TRUE,FALSE,TRUE,"MWI",FALSE,"Amputation"
"Clinical Services","General Clinical Services","Breast Cancer",TRUE,FALSE,TRUE,"TZA",FALSE,"Breast Cancer"
"Clinical Services","General Clinical Services","Cancer Treatment",TRUE,FALSE,TRUE,"MWI",FALSE,"Cancer Treatment"
"Clinical Services","General Clinical Services","Cardivascular diseases management",TRUE,FALSE,TRUE,"MWI",FALSE,"Cardivascular diseases management"
"Clinical Services","General Clinical Services","Cataract Surgery",TRUE,FALSE,TRUE,"MWI",FALSE,"Cataract Surgery"
"Clinical Services","General Clinical Services","Child care services",TRUE,FALSE,TRUE,"MWI",FALSE,"Child care services"
"Clinical Services","General Clinical Services","Chronic Respiratory diseases",TRUE,FALSE,TRUE,"MWI",FALSE,"Chronic Respiratory diseases"
"Clinical Services","General Clinical Services","Chronic Respiratory diseases management",TRUE,FALSE,TRUE,"MWI",FALSE,"Chronic Respiratory diseases management"
"Clinical Services","General Clinical Services","Cleft Lip repair",TRUE,FALSE,TRUE,"MWI",FALSE,"Cleft Lip repair"
"Clinical Services","General Clinical Services","Contacture release",TRUE,FALSE,TRUE,"MWI",FALSE,"Contacture release"
"Clinical Services","General Clinical Services","Critical care HDU",TRUE,FALSE,TRUE,"MWI",FALSE,"Critical care HDU"
"Clinical Services","General Clinical Services","Dental",TRUE,FALSE,TRUE,"MWI",FALSE,"Dental"
"Clinical Services","General Clinical Services","Dermatology (Skin)",TRUE,FALSE,TRUE,"MWI",FALSE,"Dermatology (Skin)"
"Clinical Services","General Clinical Services","Diabetes Care and Treatment",TRUE,FALSE,TRUE,"TZA",FALSE,"Diabetes Care and Treatment"
"Clinical Services","General Clinical Services","Diarrhoea diseases",TRUE,FALSE,TRUE,"MWI",FALSE,"Diarrhoea diseases"
"Clinical Services","General Clinical Services","ENT",TRUE,FALSE,TRUE,"MWI",FALSE,"ENT"
"Clinical Services","General Clinical Services","General OPD",TRUE,FALSE,TRUE,"MWI",FALSE,"General OPD"
"Clinical Services","General Clinical Services","General Ophthalmology",TRUE,FALSE,TRUE,"TZA",FALSE,"General Ophthalmology"
"Clinical Services","General Clinical Services","Hernia Repair",TRUE,FALSE,TRUE,"MWI",FALSE,"Hernia Repair"
"Clinical Services","General Clinical Services","IMCI - Integrated Management of",TRUE,FALSE,TRUE,"TZA",FALSE,"IMCI - Integrated Management of"
"Clinical Services","General Clinical Services","IMCI – Integrated Management of Child Illnesses",TRUE,FALSE,TRUE,"MWI",FALSE,"IMCI – Integrated Management of Child Illnesses"
"Clinical Services","General Clinical Services","IPD - Inpatient Services",TRUE,FALSE,TRUE,"TZA",FALSE,"IPD - Inpatient Services"
"Clinical Services","General Clinical Services","In patient services (IPD)",TRUE,FALSE,TRUE,"MWI",FALSE,"In patient services (IPD)"
"Clinical Services","General Clinical Services","Laparatomy provided",TRUE,FALSE,TRUE,"MWI",FALSE,"Laparatomy provided"
"Clinical Services","General Clinical Services","MCI-Integrated Mangement of child illiness",TRUE,FALSE,TRUE,"MWI",FALSE,"MCI-Integrated Mangement of child illiness"
"Clinical Services","General Clinical Services","Major Surgical Interventions",TRUE,FALSE,TRUE,"TZA",FALSE,"Major Surgical Interventions"
"Clinical Services","General Clinical Services","Medical Rehabilitation",TRUE,FALSE,TRUE,"MWI",FALSE,"Medical Rehabilitation"
"Clinical Services","General Clinical Services","Mental Health Services",TRUE,FALSE,TRUE,"TZA",FALSE,"Mental Health Services"
"Clinical Services","General Clinical Services","Minor Surgical Interventions",TRUE,FALSE,TRUE,"TZA",FALSE,"Minor Surgical Interventions"
"Clinical Services","General Clinical Services","NCD",TRUE,FALSE,TRUE,"MWI",FALSE,"NCD"
"Clinical Services","General Clinical Services","NCD - Other Non-Communicable Disease",TRUE,FALSE,TRUE,"TZA",FALSE,"NCD - Other Non-Communicable Disease"
"Clinical Services","General Clinical Services","Neurology",TRUE,FALSE,TRUE,"MWI",FALSE,"Neurology"
"Clinical Services","General Clinical Services","Non-Communicable Diseases",TRUE,FALSE,TRUE,"MWI",FALSE,"Non-Communicable Diseases"
"Clinical Services","General Clinical Services","Nutritional Counseling",TRUE,FALSE,TRUE,"TZA",FALSE,"Nutritional Counseling"
"Clinical Services","General Clinical Services","Nutritional Rehabilitation",TRUE,FALSE,TRUE,"TZA",FALSE,"Nutritional Rehabilitation"
"Clinical Services","General Clinical Services","OPD - Outpatient Services",TRUE,FALSE,TRUE,"TZA",FALSE,"OPD - Outpatient Services"
"Clinical Services","General Clinical Services","Ophthalmology (Eye)",TRUE,FALSE,TRUE,"MWI",FALSE,"Ophthalmology (Eye)"
"Clinical Services","General Clinical Services","Other Specialized Services",TRUE,FALSE,TRUE,"MWI",FALSE,"Other Specialized Services"
"Clinical Services","General Clinical Services","Out patient services (OPD)",TRUE,FALSE,TRUE,"MWI",FALSE,"Out patient services (OPD)"
"Clinical Services","General Clinical Services","Palliative care",TRUE,FALSE,TRUE,"MWI",FALSE,"Palliative care"
"Clinical Services","General Clinical Services","Palliative care Services",TRUE,FALSE,TRUE,"MWI",FALSE,"Palliative care Services"
"Clinical Services","General Clinical Services","Pediatric",TRUE,FALSE,TRUE,"MWI",FALSE,"Pediatric"
"Clinical Services","General Clinical Services","Physiotherapy",TRUE,FALSE,TRUE,"TZA",FALSE,"Physiotherapy"
"Clinical Services","General Clinical Services","Pneumonia Treatment",TRUE,FALSE,TRUE,"MWI",FALSE,"Pneumonia Treatment"
"Clinical Services","General Clinical Services","Pneumonia treatment",TRUE,FALSE,TRUE,"MWI",FALSE,"Pneumonia treatment"
"Clinical Services","General Clinical Services","Prostate Cancer",TRUE,FALSE,TRUE,"TZA",FALSE,"Prostate Cancer"
"Clinical Services","General Clinical Services","Prosthetics",TRUE,FALSE,TRUE,"MWI",FALSE,"Prosthetics"
"Clinical Services","General Clinical Services","Psychiatry",TRUE,FALSE,TRUE,"MWI",FALSE,"Psychiatry"
"Clinical Services","General Clinical Services","Rescucitation for adults",TRUE,FALSE,TRUE,"MWI",FALSE,"Rescucitation for adults"
"Clinical Services","General Clinical Services","Rescucitation for peadiatric patients",TRUE,FALSE,TRUE,"MWI",FALSE,"Rescucitation for peadiatric patients"
"Clinical Services","General Clinical Services","STI",TRUE,FALSE,TRUE,"MWI",FALSE,"STI"
"Clinical Services","General Clinical Services","STI diagnosis and management",TRUE,FALSE,TRUE,"MWI",FALSE,"STI diagnosis and management"
"Clinical Services","General Clinical Services","STI services",TRUE,FALSE,TRUE,"MWI",FALSE,"STI services"
"Clinical Services","General Clinical Services","Sexully Transmitted infection",TRUE,FALSE,TRUE,"MWI",FALSE,"Sexully Transmitted infection"
"Clinical Services","General Clinical Services","Skin grafting",TRUE,FALSE,TRUE,"MWI",FALSE,"Skin grafting"
"Clinical Services","General Clinical Services","Surgical Major",TRUE,FALSE,TRUE,"MWI",FALSE,"Surgical Major"
"Clinical Services","General Clinical Services","Surgical Minor",TRUE,FALSE,TRUE,"MWI",FALSE,"Surgical Minor"
"Clinical Services","General Clinical Services","Surgical Orthopedic",TRUE,FALSE,TRUE,"MWI",FALSE,"Surgical Orthopedic"
"Clinical Services","General Clinical Services","Surgical services provided",TRUE,FALSE,TRUE,"MWI",FALSE," Surgical services provided"
"Clinical Services","General Clinical Services","TB Diagnosis using clinical symptomsservices",TRUE,FALSE,TRUE,"MWI",FALSE,"TB Diagnosis using clinical symptomsservices"
"Clinical Services","General Clinical Services","TB Diagnosis/Testing",TRUE,FALSE,TRUE,"MWI",FALSE,"TB Diagnosis/Testing"
"Clinical Services","General Clinical Services","TB Patient follow up",TRUE,FALSE,TRUE,"MWI",FALSE,"TB Patient follow up"
"Clinical Services","General Clinical Services","TB Screening",TRUE,FALSE,TRUE,"MWI",FALSE,"TB Screening"
"Clinical Services","General Clinical Services","TB Treatment",TRUE,FALSE,TRUE,"MWI",FALSE,"TB Treatment"
"Clinical Services","General Clinical Services","Theatre Major",TRUE,FALSE,TRUE,"MWI",FALSE,"Theatre Major"
"Clinical Services","General Clinical Services","Theatre Minor",TRUE,FALSE,TRUE,"MWI",FALSE,"Theatre Minor"
"Clinical Services","General Clinical Services","Treatment of severe diarrhoea (IV Fluids)",TRUE,FALSE,TRUE,"MWI",FALSE,"Treatment of severe diarrhoea (IV Fluids)"
"Clinical Services","General Clinical Services","Treatment of severe pneumonia(Oxygen)",TRUE,FALSE,TRUE,"MWI",FALSE,"Treatment of severe pneumonia(Oxygen)"
"Clinical Services","General Inpatient (IPD)","IV Solutions",TRUE,FALSE,TRUE,"MWI",FALSE,"IV Solutions"
"Clinical Services","General Inpatient (IPD)","IV Treatment",TRUE,FALSE,TRUE,"MWI",FALSE,"IV Treatment"
"Clinical Services","General Inpatient (IPD)","Medical",TRUE,FALSE,TRUE,"MWI",FALSE,"Medical"
"Clinical Services","Surgical Services","Fracture",TRUE,FALSE,TRUE,"MWI",FALSE,"Fracture"
"Clinical Services","TB Services","Facility prescibes TB drugs",TRUE,FALSE,TRUE,"MWI",FALSE,"Facility prescibes TB drugs"
"Clinical Services","TB Services","Facility provides TB drugs",TRUE,FALSE,TRUE,"MWI",FALSE,"Facility provides TB drugs"
"Community & Preventive Health","Community & Preventive Health","Child immunisation",TRUE,FALSE,TRUE,"MWI",FALSE,"Child immunisation"
"Community & Preventive Health","Community & Preventive Health","Community Health Services",TRUE,FALSE,TRUE,"MWI",FALSE,"Community Health Services"
"Community & Preventive Health","Community & Preventive Health","Community management of nutrition in under-5: Vitamin A",TRUE,FALSE,TRUE,"MWI",FALSE,"Community management of nutrition in under-5: Vitamin A"
"Community & Preventive Health","Community & Preventive Health","Community management of nutrition under-5:Plumpy peanut",TRUE,FALSE,TRUE,"MWI",FALSE,"Community management of nutrition under-5:Plumpy peanut"
"Community & Preventive Health","Community & Preventive Health","Deworming",TRUE,FALSE,TRUE,"MWI",FALSE,"Deworming"
"Community & Preventive Health","Community & Preventive Health","Growth monitoring",TRUE,FALSE,TRUE,"MWI",FALSE,"Growth monitoring"
"Community & Preventive Health","Community & Preventive Health","Health Education",TRUE,FALSE,TRUE,"MWI",FALSE,"Health Education"
"Community & Preventive Health","Community & Preventive Health","Health education",TRUE,FALSE,TRUE,"MWI",FALSE,"Health education"
"Community & Preventive Health","Community & Preventive Health","Immunizations",TRUE,FALSE,TRUE,"MWI",FALSE,"Immunizations"
"Community & Preventive Health","Community & Preventive Health","Nutrition",TRUE,FALSE,TRUE,"MWI",FALSE,"Nutrition"
"Community & Preventive Health","Community & Preventive Health","Nutrition Counselling",TRUE,FALSE,TRUE,"MWI",FALSE,"Nutrition Counselling"
"Community & Preventive Health","Community & Preventive Health","Nutrition services",TRUE,FALSE,TRUE,"MWI",FALSE,"Nutrition services"
"Community & Preventive Health","Community & Preventive Health","School Health",TRUE,FALSE,TRUE,"MWI",FALSE,"School Health"
"Community & Preventive Health","Community & Preventive Health","Vitamin A supplementation in infants and children 6-59 months",TRUE,FALSE,TRUE,"MWI",FALSE,"Vitamin A supplementation in infants and children 6-59 months"
"Community & Preventive Health","Community & Preventive Health","Vitamin A supplementation in pregnat women",TRUE,FALSE,TRUE,"MWI",FALSE,"Vitamin A supplementation in pregnat women"
"Community & Preventive Health","Community & Preventive Health","Vitamin A supplimentation in infants and children",TRUE,FALSE,TRUE,"MWI",FALSE,"Vitamin A supplimentation in infants and children"
"Community & Preventive Health","Growth Monitoring & Nutrition","Community management of in under-5: Micronutrient provider",TRUE,FALSE,TRUE,"MWI",FALSE,"Community management of in under-5: Micronutrient provider"
"Community & Preventive Health","Growth Monitoring & Nutrition","Councelling",TRUE,FALSE,TRUE,"TZA",TRUE,"Councelling"
"Community & Preventive Health","Growth Monitoring & Nutrition","IMM-ADD - With Addition Vaccine",TRUE,FALSE,TRUE,"TZA",FALSE,"IMM-ADD - With Addition Vaccine"
"Community & Preventive Health","Growth Monitoring & Nutrition","IMM-BASIC - Basic Immunization",TRUE,FALSE,TRUE,"TZA",FALSE,"IMM-BASIC - Basic Immunization"
"Community & Preventive Health","Growth Monitoring & Nutrition","Management of malnutrition",TRUE,FALSE,TRUE,"MWI",FALSE,"Management of malnutrition"
"Community & Preventive Health","Growth Monitoring & Nutrition","PORT - Port Immunization Services",TRUE,FALSE,TRUE,"TZA",FALSE,"PORT - Port Immunization Services"
"Community & Preventive Health","Growth Monitoring & Nutrition","Under 5",TRUE,FALSE,TRUE,"MWI",FALSE,"Under 5"
"Community & Preventive Health","Growth Monitoring & Nutrition","Vaccination",TRUE,FALSE,TRUE,"TZA",FALSE,"Vaccination"
"Community & Preventive Health","Health Promotion and Disease Prevention","ARI",TRUE,FALSE,TRUE,"MWI",FALSE,"ARI"
"Community & Preventive Health","Health Promotion and Disease Prevention","Community Mobilization",TRUE,FALSE,TRUE,"TZA",FALSE,"Community Mobilization"
"Community & Preventive Health","Health Promotion and Disease Prevention","Epidemiological Surveillance and Response",TRUE,FALSE,TRUE,"TZA",FALSE,"Epidemiological Surveillance and Response"
"Community & Preventive Health","Health Promotion and Disease Prevention","Epidemiological Surveillance and Response Response",TRUE,FALSE,TRUE,"TZA",FALSE,"Epidemiological Surveillance and Response Response"
"Community & Preventive Health","Health Promotion and Disease Prevention","Health promoting hospital initiative",TRUE,FALSE,TRUE,"TZA",FALSE,"Health promoting hospital initiative"
"Community & Preventive Health","Health Promotion and Disease Prevention","Psychosocial Support",TRUE,FALSE,TRUE,"TZA",FALSE,"Psychosocial Support"
"Community & Preventive Health","Health Promotion and Disease Prevention","School Health Intervention",TRUE,FALSE,TRUE,"TZA",FALSE,"School Health Intervention"
"Community & Preventive Health","Immunisation/Vaccination","Measles Rubella",TRUE,FALSE,TRUE,"MWI",FALSE,"Measles Rubella"
"Diagnostic Services","Diagnostic Services","Agglutination test",TRUE,FALSE,TRUE,"MWI",FALSE,"Agglutination test"
"Diagnostic Services","Diagnostic Services","Alt testing",TRUE,FALSE,TRUE,"MWI",FALSE,"Alt testing"
"Diagnostic Services","Diagnostic Services","Blood Transfusion",TRUE,FALSE,TRUE,"MWI",FALSE," Blood Transfusion"
"Diagnostic Services","Diagnostic Services","Blood glucose test",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood glucose test"
"Diagnostic Services","Diagnostic Services","Blood group serology",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood group serology"
"Diagnostic Services","Diagnostic Services","Blood group testing",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood group testing"
"Diagnostic Services","Diagnostic Services","Blood screened for HIV",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood screened for HIV"
"Diagnostic Services","Diagnostic Services","Blood screened for Hepatitis  B",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood screened for Hepatitis  B"
"Diagnostic Services","Diagnostic Services","Blood screened for Hepatitis C",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood screened for Hepatitis C"
"Diagnostic Services","Diagnostic Services","Blood screened for Syphillis",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood screened for Syphillis"
"Diagnostic Services","Diagnostic Services","Blood screening",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood screening"
"Diagnostic Services","Diagnostic Services","Blood sugar test",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood sugar test"
"Diagnostic Services","Diagnostic Services","Blood transfusion",TRUE,FALSE,TRUE,"MWI",FALSE,"Blood transfusion"
"Diagnostic Services","Diagnostic Services","CT-Scan",TRUE,FALSE,TRUE,"MWI",FALSE,"CT-Scan"
"Diagnostic Services","Diagnostic Services","Clinical Chemistry",TRUE,FALSE,TRUE,"MWI",FALSE,"Clinical Chemistry"
"Diagnostic Services","Diagnostic Services","Diagnostic testing",TRUE,FALSE,TRUE,"MWI",FALSE,"Diagnostic testing"
"Diagnostic Services","Diagnostic Services","FBC-Full blood count",TRUE,FALSE,TRUE,"MWI",FALSE,"FBC-Full blood count"
"Diagnostic Services","Diagnostic Services","Hematology",TRUE,FALSE,TRUE,"MWI",FALSE,"Hematology"
"Diagnostic Services","Diagnostic Services","Immunology and Serology",TRUE,FALSE,TRUE,"MWI",FALSE,"Immunology and Serology"
"Diagnostic Services","Diagnostic Services","Ketone test",TRUE,FALSE,TRUE,"MWI",FALSE,"Ketone test"
"Diagnostic Services","Diagnostic Services","Laboratory",TRUE,FALSE,TRUE,"MWI, TZA",FALSE,"Laboratory"
"Diagnostic Services","Diagnostic Services","Microbiology",TRUE,FALSE,TRUE,"MWI",FALSE,"Microbiology"
"Diagnostic Services","Diagnostic Services","Microscopy",TRUE,FALSE,TRUE,"MWI",FALSE,"Microscopy"
"Diagnostic Services","Diagnostic Services","Parasitology",TRUE,FALSE,TRUE,"MWI",FALSE,"Parasitology"
"Diagnostic Services","Diagnostic Services","Radiology",TRUE,FALSE,TRUE,"MWI",FALSE,"Radiology"
"Diagnostic Services","Diagnostic Services","Radiology Services",TRUE,FALSE,TRUE,"TZA",FALSE,"Radiology Services"
"Diagnostic Services","Diagnostic Services","Rapid Syphillis",TRUE,FALSE,TRUE,"MWI",FALSE,"Rapid Syphillis"
"Diagnostic Services","Diagnostic Services","Renal function test",TRUE,FALSE,TRUE,"MWI",FALSE,"Renal function test"
"Diagnostic Services","Diagnostic Services","Rhesus blood group testing",TRUE,FALSE,TRUE,"MWI",FALSE,"Rhesus blood group testing"
"Diagnostic Services","Diagnostic Services","Serum creatine test",TRUE,FALSE,TRUE,"MWI",FALSE,"Serum creatine test"
"Diagnostic Services","Diagnostic Services","Slide Microscopy",TRUE,FALSE,TRUE,"MWI",FALSE,"Slide Microscopy"
"Diagnostic Services","Diagnostic Services","Slide microscopy",TRUE,FALSE,TRUE,"MWI",FALSE,"Slide microscopy"
"Diagnostic Services","Diagnostic Services","Smear microscopy",TRUE,FALSE,TRUE,"MWI",FALSE,"Smear microscopy"
"Diagnostic Services","Diagnostic Services","Syphilis serology testing",TRUE,FALSE,TRUE,"MWI",FALSE,"Syphilis serology testing"
"Diagnostic Services","Diagnostic Services","Syphillis rpid test",TRUE,FALSE,TRUE,"MWI",FALSE,"Syphillis rpid test"
"Diagnostic Services","Diagnostic Services","Syphillis serology",TRUE,FALSE,TRUE,"MWI",FALSE,"Syphillis serology"
"Diagnostic Services","Diagnostic Services","Ultrasound",TRUE,FALSE,TRUE,"MWI",FALSE,"Ultrasound"
"Diagnostic Services","Diagnostic Services","Urine glucose test",TRUE,FALSE,TRUE,"MWI",FALSE,"Urine glucose test"
"Diagnostic Services","Diagnostic Services","Urine keton test",TRUE,FALSE,TRUE,"MWI",FALSE,"Urine keton test"
"Diagnostic Services","Diagnostic Services","Urine microscopy",TRUE,FALSE,TRUE,"MWI",FALSE,"Urine microscopy"
"Diagnostic Services","Diagnostic Services","Urine protein dip stick test",TRUE,FALSE,TRUE,"MWI",FALSE,"Urine protein dip stick test"
"Diagnostic Services","Diagnostic Services","Urine protein test",TRUE,FALSE,TRUE,"MWI",FALSE,"Urine protein test"
